bis_player_id,pick_round,pick_number,round_pick_number,rank,pick_value,signing_bonus,scouting_report,blurb,headshot_link,is_drafted,is_pass,year,home_city,home_state,home_country,school_name,school_school_class,school_country,school_state,school_city,person_id,person_full_name,person_link,person_first_name,person_last_name,person_primary_number,person_birth_date,person_current_age,person_birth_city,person_birth_state_province,person_birth_country,person_height,person_weight,person_active,person_use_name,person_use_last_name,person_middle_name,person_boxscore_name,person_gender,person_is_player,person_is_verified,person_draft_year,person_name_first_last,person_name_slug,person_first_last_name,person_last_first_name,person_last_init_name,person_init_last_name,person_full_fml_name,person_full_lfm_name,person_strike_zone_top,person_strike_zone_bottom,person_name_title,person_name_suffix,person_name_matrilineal,person_primary_position_code,person_primary_position_name,person_primary_position_type,person_primary_position_abbreviation,person_bat_side_code,person_bat_side_description,person_pitch_hand_code,person_pitch_hand_description,team_all_star_status,team_id,team_name,team_link,team_spring_league_id,team_spring_league_name,team_spring_league_link,team_spring_league_abbreviation,draft_type_code,draft_type_description,npl_name
5019443,1,1,1,2,8846900,8190000,https://www.mlb.com/video/2022-draft-jackson-holliday-ss?t=mlb-draft,"The son of seven-time All-Star Matt Holliday, Jackson not only has some of the best bloodlines in the high school class but also is one of its better hitters. Though he struggled at times on the showcase circuit last summer when he got too focused on homers, he finished strong and has taken his game to another level as a high school senior and should go in the first five selections. Gatorade's Oklahoma prep player of the year, he broke J.T. Realmuto's national high school record for hits in a season with 89 in 41 games while batting .685/.749/1.392. Holliday has an advanced approach, no surprise given his roots, and a knack for putting the barrel on the ball. He usually makes consistent hard contact, though he didn't during the summer when he let his simple left-handed stroke get too long. After getting bigger and stronger, he's hitting the ball with more authority than ever this spring, and he also looks more relaxed at the plate and is letting his considerable power come naturally. Holliday has gotten faster as he has gotten stronger, and he now flashes plus-plus run times as a senior and is a consistent plus runner. He's throwing better too, and his solid to plus arm strength and enhanced quickness give him a better opportunity to remain at shortstop. His high baseball IQ also helps his chances after many evaluators previously believed he was destined for second or third base. In the unlikely event that he makes it to college, he'll play for his uncle Josh, the head coach at Oklahoma State, where Matt is a volunteer assistant.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/702616/headshot/draft/current",TRUE,FALSE,2022,Stillwater,Oklahoma,USA,Stillwater HS,HS SR,USA,OK,NA,702616,Jackson Holliday,/api/v1/people/702616,Jackson,Holliday,87,2003-12-04,19,Austin,TX,USA,"6' 1""",175,TRUE,Jackson,Holliday,Matthew,Holliday,M,TRUE,TRUE,2022,Jackson Holliday,jackson-holliday-702616,Jackson Holliday,"Holliday, Jackson","Holliday, J",J Holliday,Jackson Matthew Holliday,"Holliday, Jackson Matthew",3.411,1.565,NA,NA,NA,6,Shortstop,Infielder,SS,L,Left,R,Right,N,110,Baltimore Orioles,/api/v1/teams/110,115,Grapefruit League,/api/v1/league/115,GL,JR,June Amateur Draft,"Holliday, Jackson"
5018902,1,2,2,1,8189400,8189400,https://www.mlb.com/video/2022-draft-druw-jones-of?t=mlb-draft,"Andruw Jones made five All-Star teams and won 10 Gold Gloves in a 17-year career in the Majors, and his son reminds scouts of his father's game. Druw is taller and leaner than his dad was as a teenager, but he has similar five-tool potential as a center fielder. He improved throughout the summer on the showcase circuit and he has impressed scouts this spring with a more selective approach and more consistent at-bats. He led Wesleyan (Norcross) to the Georgia Class A private school state title en route to winning Gatorade's Georgia high school player of the year award. While Jones' right-handed swing is still somewhat of a work in progress, he understands it well, shows the ability to make adjustments and does damage against quality pitching. He already has plenty of bat speed and drives balls to the gaps, and as he fills out his 6-foot-4 frame he should develop plus power. He's a plus-plus runner when he turns on the jets and is capable of beating out ground balls to the left side. Jones is the best defensive center fielder in the 2022 high school crop and might be the best defender in the entire Draft. His speed and instincts combine to give him tremendous range and his well-above-average arm strength stands out at a position not known for many cannons. Scouts who have seen the Vanderbilt recruit take infield say he has the tools and actions to play a fine shortstop as well.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/702258/headshot/draft/current",TRUE,FALSE,2022,Suwanee,Georgia,USA,Wesleyan HS,HS SR,USA,GA,NA,702258,Druw Jones,/api/v1/people/702258,Druw,Jones,NA,2003-11-28,19,Atlanta,GA,USA,"6' 4""",180,TRUE,Druw,Jones,Nicholas,Jones,M,TRUE,TRUE,2022,Druw Jones,druw-jones-702258,Druw Jones,"Jones, Druw","Jones, D",D Jones,Andruw Nicholas Jones,"Jones, Andruw Nicholas",3.549,1.627,NA,NA,NA,O,Outfield,Outfielder,OF,R,Right,R,Right,N,109,Arizona Diamondbacks,/api/v1/teams/109,114,Cactus League,/api/v1/league/114,CL,JR,June Amateur Draft,"Jones, Druw"
780010,1,3,3,38,7591600,5200000,https://www.mlb.com/video/2022-draft-kumar-rocker-rhp?t=mlb-draft,"After entering 2021 as that Draft's top-rated prospect, Rocker is this Draft's biggest enigma despite two spectacular full seasons at Vanderbilt. As a freshman in 2019, he threw a 19-strikeout no-hitter against Duke in the NCAA Super Regionals and earned two victories and Most Outstanding Player honors at the College World Series. In 2021, he helped the Commodores return to the CWS finals and topped NCAA Division I in wins (14) and strikeouts (179 in 122 innings, tying teammate Jack Leiter). The Mets selected him 10th overall July in and agreed to a $6 million bonus, but they walked away from the deal after a post-Draft physical created unspecified concerns about his shoulder and elbow. Rocker's velocity fluctuated during the 2021 season, with his fastball averaging 93 mph, sitting in the low 90s at times and touching 99 at others. His heater features some run and sink but also flattens out on occasion. All 19 of his strikeouts against Duke came on his slider, a mid-80s wipeout pitch with power and depth when at its best, and he also employs a low-80s curveball with more vertical break. Rocker also has a sinking mid-80s changeup that shows signs of becoming an average offering, though it gets too firm at times and he doesn't use it much. The son of former NFL defensive lineman Tracy Rocker, he's a physical right-hander who throws strikes but possesses just average command. Even though teams were getting more details about his health, and some information about a September shoulder surgery was made public weeks before the Draft, it's still difficult to figure out where he'll fit into the 2022 Draft. Rather than return to Vanderbilt, he opted to go to the independent Frontier League, where he showed his high-end stuff during controlled outings leading up to the Draft.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/677958/headshot/draft/current",TRUE,FALSE,2022,Farragut,Tennessee,USA,No School,4YR JR,USA,NA,NA,677958,Kumar Rocker,/api/v1/people/677958,Kumar,Rocker,NA,1999-11-22,23,Watkinsville,GA,USA,"6' 5""",245,TRUE,Kumar,Rocker,NA,Rocker,M,TRUE,TRUE,2022,Kumar Rocker,kumar-rocker-677958,Kumar Rocker,"Rocker, Kumar","Rocker, K",K Rocker,Kumar Rocker,"Rocker, Kumar",3.575,1.681,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,N,140,Texas Rangers,/api/v1/teams/140,114,Cactus League,/api/v1/league/114,CL,JR,June Amateur Draft,"Rocker, Kumar"
5021204,1,4,4,4,7005800,7219000,https://www.mlb.com/video/2022-draft-termarr-johnson-2b?t=mlb-draft,"Though he's a high schooler who projects as a second baseman, Johnson is a potential No. 1 overall choice because he might be the best pure prep hitter in decades. He has a track record of pummeling pitchers on the showcase circuit and some evaluators give his bat top-of-the-scale 80 grades. One scout gave him a double Hall of Famer comparison by calling him a combination of Wade Boggs' plate discipline and Vladimir Guerrero Sr.'s bat-to-ball skills. Johnson's hand-eye coordination and swing decisions make him an elite contact hitter from the left side of the plate. He isn't fazed by mid-90s fastballs or quality breaking balls, using his quick, compact stroke to drive the ball to all fields. Though his listed 5-foot-10 height might be a bit generous, his ability to barrel balls along with his bat speed and strength could make him a 25-30 homer threat in the big leagues. A shortstop in high school, Johnson will change positions as a pro because his quickness and arm are more average than plus. His hands work well in the field as well as at the plate and he profiles best at second base, where he should be at least a solid defender. He committed to Arizona State in May.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/702261/headshot/draft/current",TRUE,FALSE,2022,Atlanta,Georgia,USA,Mays HS,HS SR,USA,GA,NA,702261,Termarr Johnson,/api/v1/people/702261,Termarr,Johnson,85,2004-06-11,18,Atlanta,GA,USA,"5' 7""",175,TRUE,Termarr,Johnson,NA,Johnson,M,TRUE,TRUE,2022,Termarr Johnson,termarr-johnson-702261,Termarr Johnson,"Johnson, Termarr","Johnson, T",T Johnson,Termarr Johnson,"Johnson, Termarr",3.179,1.474,NA,NA,NA,6,Shortstop,Infielder,SS,L,Left,R,Right,N,134,Pittsburgh Pirates,/api/v1/teams/134,115,Grapefruit League,/api/v1/league/115,GL,JR,June Amateur Draft,"Johnson, Termarr"
5012163,1,5,5,3,6497700,6500000,https://www.mlb.com/video/2022-draft-elijah-green-hs-of?t=mlb-draft,"Green is the son of former NFL Pro Bowl tight end Eric Green, and at 6-foot-3, 225 pounds, he looks like he could have followed in his father’s footsteps had he not desired a future on the diamond. Green really jumped on the map with a strong performance at the Area Code Underclass event back in the summer of 2020, leading some to wish he'd reclassified for the 2021 Draft, but he’s shown off his tremendous raw tools at IMG Academy this spring to put himself in position to be a very high Draft pick in 2022. A right-handed hitter, Green is capable of doing just about everything very well. He can make very loud contact and has proven he can drive the ball to all fields and hit the ball out of the park just about anywhere with at least plus raw power, and he’s done that this spring in front of a lot of decision makers. . The one question that had arisen about his offensive upside had been about the swing-and-miss in his game. He’s struggled in the past against elevated velocity and there are some concerns about his ability to adjust to offspeed and breaking stuff, but had assuaged many of those fears with how he has swung the bat this spring. Green is an elite-level runner who can steal bases and cover a ton of ground in the outfield, where he should be able to man center field, with a plus arm, for a very long time to come. His complete toolset doesn’t come around very often, so it’s likely someone in the top of the first round will call his name even if there are remaining questions about his hit tool.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/701327/headshot/draft/current",TRUE,FALSE,2022,Windermere,Florida,USA,IMG Academy,HS SR,USA,FL,NA,701327,Elijah Green,/api/v1/people/701327,Elijah,Green,NA,2003-12-04,19,Windermere,FL,USA,"6' 3""",225,TRUE,Elijah,Green,Joseph,Green,M,TRUE,TRUE,2022,Elijah Green,elijah-green-701327,Elijah Green,"Green, Elijah","Green, E",E Green,Elijah Joseph Green,"Green, Elijah Joseph",3.49,1.601,NA,NA,NA,O,Outfield,Outfielder,OF,R,Right,R,Right,N,120,Washington Nationals,/api/v1/teams/120,115,Grapefruit League,/api/v1/league/115,GL,JR,June Amateur Draft,"Green, Elijah"
5005209,1,6,6,7,6037500,6000000,https://www.mlb.com/video/2022-draft-jacob-berry-3b?t=mlb-draft,"Berry received national freshman of the year recognition in 2021 after batting .352/.439/.676 with 17 homers at Arizona, setting school first-year records and leading the Pacific-12 Conference in extra-base hits (41), total bases (167) and RBI (70). When Wildcats coach Jay Johnson moved on to Louisiana State, Berry followed him to Baton Rouge and continued to rake. Though his defensive home remains a question, he'll still be one of the first college bats off the board in July. Equally productive from both sides of the plate, Berry has drawn some comparisons to a switch-hitting version of Andrew Vaughn (the No. 3 choice in 2019) for his ability to hit for power and average while controlling the strike zone. He hammers fastballs and handles breaking balls and changeups well. He has a quality swing and approach from both sides, makes repeated hard contact and shows a propensity for driving the ball in the air. Berry spent most of his freshman season as a DH and played just nine of his 63 games in the field at third base, which has been his primary position with the Tigers. He has below-average speed and average arm strength and he's rigid at the hot corner, so most scouts believe he'll have to move elsewhere as a pro. He has looked decent at times in right field but there's a good chance that he winds up at first base -- where he'll have no problem fitting the offensive profile.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/694351/headshot/draft/current",TRUE,FALSE,2022,Queen Creek,Arizona,USA,LSU,4YR SO,USA,LA,NA,694351,Jacob Berry,/api/v1/people/694351,Jacob,Berry,NA,2001-05-05,21,Cortez,AZ,USA,"6' 0""",212,TRUE,Jacob,Berry,NA,Berry,M,TRUE,TRUE,2022,Jacob Berry,jacob-berry-694351,Jacob Berry,"Berry, Jacob","Berry, J",J Berry,Jacob Berry,"Berry, Jacob",3.371,1.535,NA,NA,NA,5,Third Base,Infielder,3B,S,Switch,R,Right,N,146,Miami Marlins,/api/v1/teams/146,115,Grapefruit League,/api/v1/league/115,GL,JR,June Amateur Draft,"Berry, Jacob"
5002420,1,7,7,24,5711000,4450000,https://www.mlb.com/video/2022-draft-cade-horton-rhp?t=mlb-draft,"One of the top two-way prospects and two-sport talents in the 2020 high school class as a right-hander/shortstop/quarterback, Horton had second-round ability but went unselected because he was all but unsignable. He missed all of his first season at Oklahoma following Tommy John surgery in February 2021 before opening this year as the Sooners' starting third baseman and not taking the mound until March 29. After he finished the regular season with a 7.94 ERA, his stock soared when he logged a 2.61 ERA with 49 strikeouts in 31 innings over five postseason starts as Oklahoma finished second at the College World Series. Horton's fastball velocity came back quickly but his life and command didn't, so his heater got hit until the playoffs, when he sat at 94-96 mph and topped out at 98 with improved armside run and carry. His biggest difference-maker was a slider that got much better after he toyed with trying to add a cutter before the Big 12 Conference tournament, giving him a wipeout breaking ball that parks in the mid-80s and reaches 90 mph with two-plane depth. It's an upgrade over his low-80s downer curveball. Horton also dabbles with a fading changeup, though it's too firm in the upper 80s and he doesn't land it for strikes. A quality athlete who looked rusty but not out of place at third base for the Sooners, he pounded the zone with his fastball and slider during the postseason. He doesn't come with a long track record of college performance but his ceiling as a No. 2 or 3 starter could land him in the top 40 picks.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/690990/headshot/draft/current",TRUE,FALSE,2022,Norman,Oklahoma,USA,Oklahoma,4YR SO,USA,OK,NA,690990,Cade Horton,/api/v1/people/690990,Cade,Horton,NA,2001-08-20,21,Oklahoma City,OK,USA,"6' 1""",211,TRUE,Cade,Horton,Michael,Horton,M,TRUE,TRUE,2022,Cade Horton,cade-horton-690990,Cade Horton,"Horton, Cade","Horton, C",C Horton,Cade Michael Horton,"Horton, Cade Michael",3.411,1.565,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,N,112,Chicago Cubs,/api/v1/teams/112,114,Cactus League,/api/v1/league/114,CL,JR,June Amateur Draft,"Horton, Cade"
807521,1,8,8,5,5442400,5675000,https://www.mlb.com/video/2022-draft-brooks-lee-ss?t=mlb-draft,"Lee was a well-regarded prospect out of the California high school ranks, but wasn’t taken until the 35th round because scouts knew he wanted to go play for his father, Larry, the head coach at Cal Poly. After missing nearly all of the shortened 2020 season following knee and hamstring surgery, Lee came back in 2021 to earn co-Big West Player of the Year honors by hitting .342/384/.626. He further solidified his bona fides as one of the top college bats in the class by hitting very well both for Team USA and in the Cape Cod League last summer, then showed he was the best college hitter in this class in 2022. Talk to any scout about the switch-hitting infielder and the first thing that comes up are his otherworldly bat-to-ball skills. He almost never strikes out and has made consistent hard contact everywhere he’s been, including his 21-game stretch with a wood bat on the Cape, where he hit .405/.432/.667 with six homers in just 84 at-bats. He can drive the ball from both sides of the plate and as he’s gotten more physical, it’s easy to project him having better-than-average power in the future. That physicality will mean he’s very likely to move off of shortstop at the next level, with third the most likely destination to take advantage of his above-average arm. As the son of a coach, he thinks like one on the field and plays like a veteran, giving more certainty that he’s going to maximize all of his tools as a pro.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/686797/headshot/draft/current",TRUE,FALSE,2022,San Luis Obispo,California,USA,Cal Poly,4YR JR,USA,CA,NA,686797,Brooks Lee,/api/v1/people/686797,Brooks,Lee,NA,2001-02-14,21,San Luis Obispo,CA,USA,"6' 2""",205,TRUE,Brooks,Lee,Thomas,Lee,M,TRUE,TRUE,2022,Brooks Lee,brooks-lee-686797,Brooks Lee,"Lee, Brooks","Lee, B",B Lee,Brooks Thomas Lee,"Lee, Brooks Thomas",3.467,1.589,NA,NA,NA,6,Shortstop,Infielder,SS,S,Switch,R,Right,N,142,Minnesota Twins,/api/v1/teams/142,115,Grapefruit League,/api/v1/league/115,GL,JR,June Amateur Draft,"Lee, Brooks"
5006834,1,9,9,10,5202900,5202900,https://www.mlb.com/video/2022-draft-gavin-cross-of?t=mlb-draft,"A relatively unheralded prospect coming out of the Tennessee high school ranks, Cross served notice he might be a college bat worth tracking when he hit .369 in 16 games during his shortened 2020 freshman season. He jumped onto the must-watch radar with a 1.035 OPS in 2021, landing on the All-ACC First Team in the process, and he was arguably the best hitter in competition with USA Baseball over the summer before continuing to rake for the Hokies this spring. A left-hander at the plate, Cross does have the chance to be an above-average hitter with above-average power. Some evaluators have some concern about his contact rates and strike zone control, though he’s greatly improved his walk rate and cut down on the strikeouts this season while driving the ball consistently. A tick-above-solid runner, he’s played center field this spring, but is better suited for a corner outfield spot. He’s also seen time at first base and could be an outstanding defender there.  Cross’ improved approach at the plate has helped Virginia Tech be one of the surprises of the college season. There are several Hokies who have the chance to go in the top five rounds and Cross is almost certain to become the first Virginia Tech hitter to go in the first round since the Dodgers took Franklin Stubbs in 1982.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/688457/headshot/draft/current",TRUE,FALSE,2022,Bristol,Tennessee,USA,Virginia Tech,4YR JR,USA,VA,NA,688457,Gavin Cross,/api/v1/people/688457,Gavin,Cross,NA,2001-02-13,21,Bristol,TN,USA,"6' 3""",210,TRUE,Gavin,Cross,James,Cross,M,TRUE,TRUE,2022,Gavin Cross,gavin-cross-688457,Gavin Cross,"Cross, Gavin","Cross, G",G Cross,Gavin James Cross,"Cross, Gavin James",3.49,1.601,NA,NA,NA,O,Outfield,Outfielder,OF,L,Left,L,Left,N,118,Kansas City Royals,/api/v1/teams/118,114,Cactus League,/api/v1/league/114,CL,JR,June Amateur Draft,"Cross, Gavin"
807572,1,10,10,26,4983000,4000000,https://www.mlb.com/video/2022-draft-gabe-hughes-rhp?t=mlb-draft,"It’s been a little while since Gonzaga University has produced any early-round Draft talent, with Wyatt Mills a third-rounder in 2017 and lefty Marco Gonzales a first-round selection back in 2013. Hughes, who like Gonzales, has been a two-way player for the Zags, threw well in the weekend rotation in 2021 before pitching for USA Baseball over the summer, and has taken a nice step forward as Gonzaga’s Friday night starter, while focusing only on pitching, this spring. Hughes has an exciting combination of size, repertoire and feel for pitching. The 6-foot-4 right-hander has electric stuff, starting with a fastball that’s regularly in the 94-97 mph range with ease, leading some scouts to wonder if he might touch triple digits someday. His slider can be a wipeout pitch, up to 89-90 mph, and he even shows very good feel for his changeup. The big right-hander can fill up the strike zone with all three pitches, throwing them to both sides of the plate and commanding his breaking stuff well. He gets high grades for his makeup, a tremendous student-athlete who is on pace to graduate in three years. Some evaluators see him as the best arm on the West Coast, one who is shooting up Draft boards with his strong spring in Washington.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/687312/headshot/draft/current",TRUE,FALSE,2022,Meridian,Idaho,USA,Gonzaga,4YR JR,USA,WA,NA,687312,Gabriel Hughes,/api/v1/people/687312,Gabriel,Hughes,NA,2001-08-22,21,Anchorage,AK,USA,"6' 4""",220,TRUE,Gabriel,Hughes,Alexander,Hughes,M,TRUE,TRUE,2022,Gabriel Hughes,gabriel-hughes-687312,Gabriel Hughes,"Hughes, Gabriel","Hughes, G",G Hughes,Gabriel Alexander Hughes,"Hughes, Gabriel Alexander",3.549,1.627,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,N,115,Colorado Rockies,/api/v1/teams/115,114,Cactus League,/api/v1/league/114,CL,JR,June Amateur Draft,"Hughes, Gabriel"
5009810,1,11,11,6,4780700,5019735,https://www.mlb.com/video/2022-draft-kevin-parada?t=mlb-draft,"One of the best high school catchers in the 2020 Draft, Parada could have gone in the second or third round if he hadn't been set on attending Georgia Tech. After a strong freshman season and summer with the U.S. collegiate national team, he's expected to be the first backstop selected in 2022. His defense drew some mixed reviews during his college debut but his bat earned praise throughout and he set a school record with 26 homers this spring. Parada doesn't try to do too much at the plate, keeping his right-handed swing under control and lashing line drives all over the park. He has good feel for the barrel, makes repeated hard contact against all types of pitching and he's showing increased power to all fields this year. He projects as a potential .280-.300 hitter with 20-25 homers per season who could fit into the middle of a big league batting order. Parada runs well for a catcher but isn't the most agile or physical behind the plate, and he wore down over the course of last spring and summer with Georgia Tech and Team USA. He has looked better as a sophomore and scouts credit him for working diligently on his defense. He earns average to solid grades for his receiving and needs to improve his fringy arm strength and his throwing accuracy after erasing just 12 percent of basestealers as a freshman.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/691006/headshot/draft/current",TRUE,FALSE,2022,Pasadena,California,USA,Georgia Tech,4YR SO,USA,GA,NA,691006,Kevin Parada,/api/v1/people/691006,Kevin,Parada,NA,2001-08-03,21,Pasadena,CA,USA,"6' 1""",197,TRUE,Kevin,Parada,John,Parada,M,TRUE,TRUE,2022,Kevin Parada,kevin-parada-691006,Kevin Parada,"Parada, Kevin","Parada, K",K Parada,Kevin John Parada,"Parada, Kevin John",3.411,1.565,NA,NA,NA,2,Catcher,Catcher,C,R,Right,R,Right,N,121,New York Mets,/api/v1/teams/121,115,Grapefruit League,/api/v1/league/115,GL,JR,June Amateur Draft,"Parada, Kevin"
5003244,1,12,12,9,4590300,4590300,https://www.mlb.com/video/2022-draft-jace-jung-2b?t=mlb-draft,"After the Rangers selected Texas Tech third baseman Josh Jung eighth overall in 2019, the Red Raiders replaced him at the hot corner with his younger brother. Jace shifted to second base in 2021 and won Big 12 Conference player of the year honors, just as Josh had two years earlier, and he's primed to go in a similar area in the 2022 Draft. Jace has more power but Josh was a more well-rounded player at the same stage of their careers. Jung's upright setup at the plate is unorthodox but doesn't prevent him from destroying all types of pitches and pitchers. The left-handed hitter has no discernible weakness at the plate, drawing more walks than strikeouts in each of his first two college seasons while making repeated hard contact to all fields. His hitting ability, strength and bat speed produce home runs from foul pole to foul pole and he makes two-strike adjustments without sacrificing much power. Most of Jung's value will come from his bat, which is fine because he may hit .300 with 30 homers on an annual basis. His aggressive nature helps him play better than his below-average speed on the bases but his defensive home remains in question. He has fringy arm strength, was erratic at third base and may not be more than adequate at second base.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/690291/headshot/draft/current",TRUE,FALSE,2022,San Antonio,Texas,USA,Texas Tech,4YR JR,USA,TX,NA,690291,Jace Jung,/api/v1/people/690291,Jace,Jung,NA,2000-10-04,22,San Antonio,TX,USA,"6' 0""",205,TRUE,Jace,Jung,Andrew,Jung,M,TRUE,TRUE,2022,Jace Jung,jace-jung-690291,Jace Jung,"Jung, Jace","Jung, J",J Jung,Jace Andrew Jung,"Jung, Jace Andrew",3.371,1.535,NA,NA,NA,4,Second Base,Infielder,2B,L,Left,R,Right,N,116,Detroit Tigers,/api/v1/teams/116,115,Grapefruit League,/api/v1/league/115,GL,JR,June Amateur Draft,"Jung, Jace"
5001736,1,13,13,17,4412500,3500000,https://www.mlb.com/video/2022-draft-zach-neto-ss?t=mlb-draft,"A lock to become the first first-round pick in Campbell history, Neto barely played during the shortened 2020 season before winning Big South Conference player of the year honors the next two years. He batted .403/.500/.751 in three seasons and proved himself with wood bats against tougher competition last summer in the Cape Cod League. He's not only one of the better hitters in the college class, but he also could have at least average tools across the board. Neto has an unconventional setup with a huge leg kick that includes a pause and an uphill right-handed swing, but he has the exceptional hand-eye coordination to make it work. He looks to drive balls in the air to his pull side yet makes consistent contact despite his approach. He has at least solid bat speed and constantly gets into good position to do damage. Neto enhances his average speed by running the bases aggressively. He has quick hands and feet and his instincts may help him be an average defender at shortstop, though his range may be better suited for second base at the next level. His arm isn't a question -- he has hit 93 mph as a reliever for the Fighting Camels -- and he started games at all four infield positions last season.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/687263/headshot/draft/current",TRUE,FALSE,2022,Miami,Florida,USA,Campbell University,4YR JR,USA,NC,NA,687263,Zach Neto,/api/v1/people/687263,Zach,Neto,NA,2001-01-31,22,Miami,FL,USA,"6' 0""",185,TRUE,Zach,Neto,Adam,Neto,M,TRUE,TRUE,2022,Zach Neto,zach-neto-687263,Zach Neto,"Neto, Zach","Neto, Z",Z Neto,Zachary Adam Neto,"Neto, Zachary Adam",3.371,1.535,NA,NA,NA,6,Shortstop,Infielder,SS,R,Right,R,Right,N,108,Los Angeles Angels,/api/v1/teams/108,114,Cactus League,/api/v1/league/114,CL,JR,June Amateur Draft,"Neto, Zach"
5017012,1,14,14,21,4243800,3900000,https://www.mlb.com/video/2022-draft-jett-williams-ss?t=mlb-draft,"At 5-foot-8, Williams might be the smallest player on our Draft Top 250, but he's also a favorite gut-feel guy for a lot of scouts. One crosschecker called him the best hitter on the summer showcase circuit, where he raked despite an injury to his right shoulder. The Mississippi State recruit could factor into the middle of the first round, especially to a club that thinks he can stay at shortstop. With quick hands, feel for the barrel and a quality right-handed stroke, Williams rarely swings and misses and makes line-drive contact with ease. He has no problem handling premium velocity or quality breaking pitches, and his size belies his power. He should produce at least 15 homers per year with his bat speed and deceptive strength, perhaps more if he gets more aggressive about pulling pitches. Williams has at least plus speed and knows how to use his quickness on the bases and in the field. He has the hands and actions for shortstop, but he didn't throw well during the summer when his shoulder was bothering him. Some evaluators believe he has solid arm strength when healthy and can stay at short, while others think his arm is more fringy to average and he'll wind up at second base or center field.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/702518/headshot/draft/current",TRUE,FALSE,2022,Heath,Texas,USA,Rockwall-Heath HS,HS SR,USA,TX,NA,702518,Jett Williams,/api/v1/people/702518,Jett,Williams,NA,2003-11-03,19,Dallas,TX,USA,"5' 8""",175,TRUE,Jett,Williams,Michael,Williams,M,TRUE,TRUE,2022,Jett Williams,jett-williams-702518,Jett Williams,"Williams, Jett","Williams, J",J Williams,Jett Michael Williams,"Williams, Jett Michael",3.26,1.481,NA,NA,NA,6,Shortstop,Infielder,SS,R,Right,R,Right,N,121,New York Mets,/api/v1/teams/121,115,Grapefruit League,/api/v1/league/115,GL,JR,June Amateur Draft,"Williams, Jett"
